subject ID,condition,rotationAngle_x,rotationAngle_y,rotationAngle_z,acceleration,heartRate
011,UnityEngine.SceneManagement.Scene,0,0,0,0,0
011,UnityEngine.SceneManagement.Scene,357.6969,348.2729,7.285292,-0.002288818,0
011,UnityEngine.SceneManagement.Scene,357.7009,348.2792,7.280207,-0.0004882813,0
011,UnityEngine.SceneManagement.Scene,357.7053,348.2782,7.286267,-0.0009765625,0
011,UnityEngine.SceneManagement.Scene,357.7092,348.271,7.277081,-0.000213623,0
011,UnityEngine.SceneManagement.Scene,357.7079,348.2699,7.282477,0.0001525879,0
011,UnityEngine.SceneManagement.Scene,357.7154,348.2654,7.280061,-0.001617432,0
011,UnityEngine.SceneManagement.Scene,357.7145,348.2692,7.289251,-0.001800537,0
011,UnityEngine.SceneManagement.Scene,357.7208,348.2633,7.286403,-0.001434326,0
011,UnityEngine.SceneManagement.Scene,357.7247,348.2709,7.290277,3.051758E-05,0
011,UnityEngine.SceneManagement.Scene,357.7303,348.2652,7.287504,-0.0009460449,0
011,UnityEngine.SceneManagement.Scene,357.7316,348.2718,7.291695,0.0007324219,0
011,UnityEngine.SceneManagement.Scene,357.7352,348.1426,7.221296,-0.001678467,0
011,UnityEngine.SceneManagement.Scene,5.960117,344.1682,5.503211,-0.3570862,0
011,UnityEngine.SceneManagement.Scene,16.04441,337.5453,355.1257,-0.8365479,0
011,UnityEngine.SceneManagement.Scene,14.93773,337.6596,345.1712,-0.006744385,0
011,UnityEngine.SceneManagement.Scene,12.09505,343.9958,347.9388,0.4284668,0
011,UnityEngine.SceneManagement.Scene,12.7983,355.1107,358.4902,1.144653,0
011,UnityEngine.SceneManagement.Scene,14.86528,13.58341,8.021366,0.5866661,0
011,UnityEngine.SceneManagement.Scene,14.06612,30.77868,11.80418,0.3828049,0
011,UnityEngine.SceneManagement.Scene,9.445551,40.13876,14.30582,0.1673164,0
011,UnityEngine.SceneManagement.Scene,5.75234,40.20018,8.896149,-0.1438026,0
011,UnityEngine.SceneManagement.Scene,2.495414,38.71745,0.2110903,-0.2666664,0
011,UnityEngine.SceneManagement.Scene,359.4542,31.65704,355.2071,-0.3237305,0
011,UnityEngine.SceneManagement.Scene,353.3672,23.35031,351.6379,-0.1777344,0
011,UnityEngine.SceneManagement.Scene,354.8906,18.49524,355.5078,0.3815002,0
011,UnityEngine.SceneManagement.Scene,0.02949979,14.71699,359.3822,-148.8021,0
011,UnityEngine.SceneManagement.Scene,2.378163,10.63011,359.8534,-0.01876831,0
011,UnityEngine.SceneManagement.Scene,2.49294,6.655612,359.7311,-0.002380371,0
011,UnityEngine.SceneManagement.Scene,1.078084,3.903941,357.5172,-0.1042786,0
011,UnityEngine.SceneManagement.Scene,4.450442,0.4685248,356.6146,0.02828979,0
011,UnityEngine.SceneManagement.Scene,6.40252,358.4962,356.7346,-0.1087952,0
011,UnityEngine.SceneManagement.Scene,6.115164,357.1694,356.1783,-0.08093262,0
011,UnityEngine.SceneManagement.Scene,5.320794,355.3189,355.608,-0.03924561,0
011,UnityEngine.SceneManagement.Scene,5.957567,356.1236,356.162,0.1045532,0
011,UnityEngine.SceneManagement.Scene,7.497856,357.6803,357.1478,0.06707764,0
011,UnityEngine.SceneManagement.Scene,8.641605,358.5139,358.0503,0.04910278,0
011,UnityEngine.SceneManagement.Scene,11.11543,359.1491,359.9066,0.181366,0
011,UnityEngine.SceneManagement.Scene,13.43068,0.5562283,1.478505,0.08701515,0
011,UnityEngine.SceneManagement.Scene,18.15526,359.5044,1.265343,-0.1311035,0
011,UnityEngine.SceneManagement.Scene,26.28791,356.337,0.2339033,-0.08630371,0
011,UnityEngine.SceneManagement.Scene,27.40725,355.3969,359.2837,-0.01672363,0
011,UnityEngine.SceneManagement.Scene,27.47758,355.9914,358.8808,0.09738159,0
011,UnityEngine.SceneManagement.Scene,25.16847,357.4857,358.4017,-0.06646729,0
011,UnityEngine.SceneManagement.Scene,21.38817,357.7207,355.4886,-0.1484985,0
011,UnityEngine.SceneManagement.Scene,20.87526,357.827,353.9446,-0.01135254,0
011,UnityEngine.SceneManagement.Scene,22.4985,358.5567,354.5165,0.1027832,0
011,UnityEngine.SceneManagement.Scene,23.81292,0.940774,356.5266,0.250824,0
011,UnityEngine.SceneManagement.Scene,23.03917,2.792905,356.7641,-0.00378418,0
011,UnityEngine.SceneManagement.Scene,21.37844,3.641635,357.4667,0.05789185,0
011,UnityEngine.SceneManagement.Scene,20.76073,4.100908,358.5999,0.01605225,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
011,UnityEngine.SceneManagement.Scene,20.31491,4.03691,358.5194,-0.03598022,0
